I,J,M_lda_ij,SD_lda_ij,M_omega_ij,SD_omega_ij
5,9,-0.12074339,0.06990516,-0.91983089,0.19091938
5,10,0.12061454,0.05685234,-1.08228388,0.18791404
5,11,-0.20633536,0.12630704,-0.02517561,0.04113048
5,12,0.05642186,0.01874923,3.24081863,0.6166166
5,13,0.00876799,0.04674452,3.15101826,0.7437865
5,14,-0.01912192,0.04861005,3.2098738,0.73484814
5,15,-0.0934984,0.03565747,3.4473145,0.74130101
5,16,0.01081755,0.03454089,3.33385197,0.74287826
5,17,0.0680022,0.04110673,2.22264995,0.50376429
5,18,0.02678866,0.01751438,3.70212569,0.60130087
5,19,0.08026001,0.02639427,2.59771614,0.54320923
5,20,-0.07098914,0.01983812,3.29278726,0.54103127
5,21,-0.20407012,0.03827666,1.18487969,0.10383994
5,22,-0.17970864,0.07167158,0.40940138,0.06775569
5,23,-0.03640741,0.02605663,1.78128007,0.15010409
5,24,0.0012204,0.02988092,1.03424591,0.14938072
5,25,-0.24177697,0.06657497,0.77305233,0.0876448
5,26,0.09362153,0.03733644,0.78510911,0.08585354
5,27,0.02299019,0.13712845,-0.63674121,0.09383324
5,28,0.54609352,0.21215315,-0.73248927,0.07020471
5,29,-0.31998282,0.10307052,0.72185007,0.10248473
5,30,-0.0091441,0.06365264,-0.1012628,0.11612704
5,31,-0.0510123,0.07861636,0.43421022,0.02975365
5,32,-0.00481958,0.02290338,0.03994068,0.15736894
5,33,-0.1133355,0.05162119,0.32864654,0.12176011
5,34,-0.08480879,0.03262687,0.17174636,0.12882878
5,35,-0.07463978,0.02713722,0.09640815,0.13935613
5,36,0.17234085,0.05853694,-0.14435793,0.14422369
5,37,0.06085845,0.08767677,-0.30634536,0.19790403
5,38,0.14577781,0.05974621,-0.15584252,0.07231574
5,39,-0.09083374,0.09966142,0.36219352,0.0848067
5,40,-0.49495078,0.05946663,0.4376971,0.05570599
5,41,0.09301715,0.0628437,-0.77425357,0.17346996
5,42,-0.02491002,0.02062287,-0.67779729,0.19512375
5,43,0.0078093,0.04620301,-0.68501536,0.15659501
5,44,-0.13251284,0.10500351,-0.50542625,0.10473481
5,45,0.10551435,0.11903173,-0.89124948,0.15096608
5,46,0.28258035,0.06412225,-0.65246203,0.13316356
5,47,-0.03438305,0.03410773,-0.48341329,0.11032965
5,48,-0.06086017,0.08815369,-0.91278778,0.1909713
5,49,0.01797808,0.0607677,-1.21506551,0.19741658
5,50,-0.20366291,0.05896547,-0.91397357,0.12174544
5,51,-0.11596678,0.07112543,-0.61245851,0.07396645
5,52,-0.23598442,0.07635861,-0.90511388,0.11109028
5,53,0.10303322,0.10866066,-0.91808021,0.13907004
5,54,-0.03268515,0.04710333,0.19496915,0.0592451
5,55,-0.01555804,0.05169523,-0.38166381,0.15178796
6,1,-0.29143096,0.11914833,-4.39346765,0.39368662
6,2,-0.04484725,0.05591853,-4.54445838,0.41593695
6,3,0.36259055,0.21551284,2.19840536,0.12976707
6,4,0.33219059,0.0817134,3.56993196,0.50157029
6,5,0.14881729,0.05398269,-0.30054228,0.13542111
6,6,2.58599126,0.15103701,5.18717249,0.62522884
6,7,-0.00556394,0.09495055,0.48305585,0.12532041
6,8,-0.01703291,0.04732276,4.85276576,0.74659351
6,9,-0.17596741,0.0638213,4.98498,0.64668083
6,10,-0.45217176,0.08075633,5.01381565,0.66920633
6,11,-0.45409494,0.12407733,-0.67688484,0.07846235
6,12,0.05494496,0.02720942,-3.08927258,0.45355463
6,13,-0.05353535,0.05290326,-6.56803852,0.60883441
6,14,0.03863755,0.03921605,-6.29679155,0.59126426
6,15,0.10479216,0.04923696,-5.88338039,0.52647042
6,16,0.06119858,0.04886773,-5.77467995,0.51321184
6,17,-0.1542228,0.05331242,-2.60720242,0.33483179
6,18,0.04296065,0.02619706,-3.03856086,0.59566434
6,19,0.0441059,0.03366925,-3.82591732,0.45894459
6,20,0.04223971,0.03877449,-3.05029478,0.68231781
6,21,-0.23806088,0.05976901,3.52990495,0.50762771
6,22,0.02899801,0.08564775,2.3198804,0.26728715
6,23,-0.03629374,0.03577288,2.42642707,0.36696544
6,24,0.03942009,0.03858583,4.52794039,0.44679034
6,25,-0.16705952,0.07786538,3.70286071,0.32458239
6,26,0.21860071,0.14569837,3.34979665,0.45122385
6,27,-0.93528112,0.27807015,2.36262526,0.44571934
6,28,0.72284638,0.26837307,2.01533423,0.5437979
6,29,-0.0770422,0.05322755,3.44809107,0.41955214
6,30,-0.06426869,0.08240366,3.65899527,0.63258722
6,31,0.11351203,0.12416383,1.65140444,0.40866953
6,32,0.00360853,0.02631901,5.31850356,0.79664128
6,33,-0.35136819,0.05708079,4.89588043,0.57378207
6,34,0.04219297,0.05874487,5.6796014,0.9005876
6,35,0.13878182,0.05344821,5.72390287,0.9007701
6,36,-0.22452574,0.05091488,5.28413138,0.69862157
6,37,-0.19159047,0.09410158,5.97441297,0.8169257
6,38,-1.53048224,0.06361521,3.7601917,0.6313155
6,39,0.12408081,0.12059875,-0.20300011,0.10235771
6,40,-0.51259477,0.12765281,0.66078196,0.06178714
6,41,-0.17386593,0.13776292,6.72228677,1.03090529
6,42,-0.25845013,0.03228601,8.8368445,1.59018555
6,43,-0.12226475,0.13625576,6.78328921,1.146938
6,44,0.21843524,0.07593606,4.19653627,0.84358802
6,45,-0.07081809,0.07034819,4.63416392,0.73638993
6,46,0.07947977,0.06310585,3.88004053,0.45670094
6,47,0.03353983,0.04786391,3.98914015,0.72821087
6,48,0.14297069,0.03113849,5.79760767,1.00575317
6,49,0.07307819,0.04943468,4.8495787,0.74736218
6,50,0.05575885,0.05396245,3.70937804,0.88907764
6,51,-0.23089097,0.14986771,2.3586595,0.64740248
6,52,-0.03652645,0.18804913,3.63251877,0.81040069
6,53,0.47465829,0.31414556,3.66384564,0.67389084
6,54,0.22756918,0.09658293,-1.16618548,0.12312591
6,55,0.00033756,0.0677275,2.94650417,0.2314801
7,1,-0.4864462,0.16002871,2.17745212,0.52054514
7,2,0.34302897,0.13618367,1.73846059,0.46514652
7,3,-0.92375109,0.19494161,0.25193793,0.07691493
7,4,-0.02765769,0.10447996,-0.584685,0.14065455
7,5,0.15207403,0.06286581,0.50557728,0.07335132
7,6,-0.00556394,0.09495055,0.48305585,0.12532041
7,7,2.36189765,0.52316936,2.24241972,0.19236769
7,8,-0.0548706,0.03985368,-0.57498226,0.17527177
7,9,-0.01327765,0.06116716,-0.86333732,0.18425872
7,10,-0.09948139,0.05692663,-0.862233,0.18756386
7,11,-0.19553999,0.09969086,0.22507632,0.06804129
7,12,-0.14083264,0.04775873,3.14577908,0.65116626
7,13,0.25315687,0.07384085,2.79801791,0.72969619
7,14,-0.14229897,0.03942244,3.03261464,0.73137518
7,15,-0.04389779,0.04951305,3.15684244,0.70825559
7,16,-0.29626492,0.10431161,3.37856168,0.70493652
7,17,0.17681571,0.05332912,2.23630867,0.5375688
7,18,0.07284969,0.05397677,3.56683883,0.6378441
7,19,0.00313396,0.02390643,3.03819435,0.58625295
7,20,-0.03000361,0.02658649,2.8509106,0.51487721
7,21,-0.06158926,0.06822624,-0.0460303,0.15975166
7,22,0.40508851,0.11518969,-0.46254573,0.102441
7,23,0.05640235,0.01811829,0.76945775,0.0901308
7,24,0.19384076,0.05780362,-0.12172917,0.17530867
7,25,-0.02009278,0.07620395,-0.17843237,0.14899801
7,26,0.13309801,0.08315788,-0.19547721,0.11055606
7,27,-2.68332601,0.70669186,0.12509923,0.08178582
7,28,0.88486618,0.35081565,-0.38661153,0.05857446
7,29,-0.01911966,0.07644213,-0.17639307,0.11577184
7,30,-0.19555923,0.06508506,0.12668044,0.10529329
7,31,0.19023812,0.15302657,0.0356586,0.02624161
7,32,-0.04995387,0.02871439,0.07844272,0.17321189
7,33,-0.06293842,0.05557385,-0.20266109,0.14060913
7,34,-0.03304836,0.04819501,-0.02498161,0.14215811
7,35,0.05648851,0.05112539,0.16600442,0.16716047
7,36,0.17078216,0.07094694,0.06254524,0.16151142
7,37,0.02411356,0.06087811,0.17585212,0.19285831
7,38,-0.19636599,0.09639348,0.44781405,0.09354251
7,39,-1.25223244,0.46695804,0.74161828,0.11156207
7,40,0.35420104,0.18235371,0.45922822,0.06020288
7,41,0.08031837,0.05203018,-0.18532081,0.21378596
7,42,-0.3219246,0.04334247,0.99231498,0.25078925
7,43,-0.11882119,0.07142062,-0.30556526,0.19027114
7,44,-0.13804145,0.05783228,0.06473422,0.10500023
7,45,-0.09247399,0.07773725,-0.64516508,0.15697686
7,46,0.4184247,0.15461601,-0.58555271,0.14615584
7,47,-0.19589925,0.04801205,-0.60188442,0.13713148
7,48,0.05339003,0.05210589,-0.75894264,0.16843328
7,49,0.07491359,0.06632464,-0.9433201,0.20589213
7,50,-0.0748013,0.06940071,-0.68938877,0.11948073
7,51,0.262263,0.06678064,-0.52797235,0.07111973
7,52,0.23144621,0.16933236,-0.45774611,0.11020154
7,53,0.96120061,0.28524326,-0.5364986,0.11157216
7,54,-0.26177297,0.14316746,0.17657552,0.08875709
7,55,0.12282635,0.05449514,-0.55296387,0.17488521
8,1,-0.00338055,0.04665318,-6.48299574,0.49389938
8,2,-0.05312211,0.05901093,-5.92309453,0.38794963
8,3,-0.89369342,0.15061794,2.89847631,0.2037717
8,4,0.25235181,0.06682499,4.98579938,0.78194715
8,5,-0.00100319,0.06267306,-0.78570853,0.13557174
8,6,-0.01703291,0.04732276,4.85276576,0.74659351
8,7,-0.0548706,0.03985368,-0.57498226,0.17527177
8,8,1.03709796,0.08366494,10.5948056,1.45642136
8,9,-0.53365317,0.08177962,9.34403924,1.16647341
8,10,-0.41796208,0.0619817,8.47271193,1.15991563
8,11,0.17199541,0.0666356,-0.37083632,0.11231652
8,12,0.03712569,0.02389709,-4.30143713,0.3183805
8,13,-0.15265517,0.05356976,-8.14538272,0.62212356
8,14,0.07786041,0.03121124,-7.86005621,0.60845173
8,15,0.01970983,0.02741416,-7.6109012,0.55333186
8,16,0.05125073,0.03744783,-7.44642169,0.57525196
