ID,Site,Old_Site,Paper_ID,Year,Population,Collection,ID,Extraction Plate,Position,Nanodrop ng/uL ,260/280,260/230,Qubit (ng/uL),Quality Sample Plate,Position,Volume,Volume for 150 ng,Volume Dispensed,Submission Plate,Position,Volume,Qubit (ng/uL),Notes
223,Deep Creek,Deep Creek,8,2011,S17,Both,223,01-Jul,D4,229.5,1.9,2.4,32.6,Quality Mimulus Plate 7 Angert 2020 DM,D4,100,5,40,Angert Mimulus – 7,D4,40,32.6,
224,Deep Creek,Deep Creek,8,2011,S17,Both,224,01-Jul,E4,85.6,1.9,2.3,13.3,Quality Mimulus Plate 7 Angert 2020 DM,E4,100,12,40,Angert Mimulus – 7,E4,40,13.3,
225,Deep Creek,Deep Creek,8,2014,S17,Timeseries,225,01-Jul,F4,138.7,1.9,2.3,14.6,Quality Mimulus Plate 7 Angert 2020 DM,F4,100,11,40,Angert Mimulus – 7,F4,40,14.6,
226,Deep Creek,Deep Creek,8,2015,S17,Timeseries,226,R-2,E3,106.5,1.9,2,19.6,Quality Mimulus Plate 7 Angert 2020 DM,G4,45,8,40,Angert Mimulus – 7,G4,40,19.6,
227,Deep Creek,Deep Creek,8,2015,S17,Timeseries,227,01-Jul,H4,8.6,2.2,1.7,4.1,Quality Mimulus Plate 7 Angert 2020 DM,H4,100,37,40,Angert Mimulus – 7,H4,40,4.12,
228,Deep Creek,Deep Creek,8,2015,S17,Timeseries,228,01-Jul,A5,170.3,1.9,2.3,23.7,Quality Mimulus Plate 7 Angert 2020 DM,A5,100,7,50,Angert Mimulus – 7,A5,50,23.7,
229,Deep Creek,Deep Creek,8,2015,S17,Timeseries,229,01-Jul,B5,37.8,1.9,1.9,3,Quality Mimulus Plate 7 Angert 2020 DM,B5,100,50,50,Angert Mimulus – 7,B5,50,3.01,
230,Deep Creek,Deep Creek,8,2015,S17,Timeseries,230,01-Jul,C5,84.8,1.8,2.3,19.5,Quality Mimulus Plate 7 Angert 2020 DM,C5,100,8,50,Angert Mimulus – 7,C5,50,19.5,
231,Deep Creek,Deep Creek,8,2016,S17,Timeseries,231,01-Jul,D5,142.7,1.9,2.3,23.8,Quality Mimulus Plate 7 Angert 2020 DM,D5,100,7,50,Angert Mimulus – 7,D5,50,23.8,
232,Deep Creek,Deep Creek,8,2016,S17,Timeseries,232,01-Jul,E5,20.5,1.9,1.7,6.9,Quality Mimulus Plate 7 Angert 2020 DM,E5,100,22,50,Angert Mimulus – 7,E5,50,6.92,
